Facultés universitaires Saint-Louis;Unif;Bld du Jardin Botanique;43;1000
Faculté universitaire de Théologie protestante;Unif;Rue des Bollandistes;40;1040
Université libre de Bruxelles;Unif;Avenue Franklin Roosevelt;50;1050
Université catholique de Louvain;Unif;Place de l'Université;1;1348
Université de Liège;Unif;Place du Vingt Août;9;4000
Facultés Universitaires Notre-Dame de la Paix;Unif;Rue de Bruxelles;61;5000
Université de Mons;Unif;Place du Parc;20;7000
Académie universitaire Wallonie-Europe;Unif;Place du 20 août;7;4000
Académie universitaire 'Louvain';Unif;rue de Bruxelles;61;5000
Académie universitaire Wallonie-Bruxelles;Unif;Rue de Villers;227;6010
RENE THONE ECOLE PRIMAIRE ET SECONDAIRE ENS. SPECIALISE PROVINCIAL;Specialisé;Rue du Débarcadère;100;6001
Institut Enseignement Spécialisé Secondaire Provincial;Specialisé;Rue de Beaumont;266;6030
ECOLE TECHNIQUE PROVINCIALE D'ENSEIGNEMENT SPECIALISE ECOLE CLINIQUE PROVINCIALE;Specialisé;Rue de Lodelinsart;157;6061
"ETABLISSEMENT LIBRE D'ENSEIGNEMENT SECONDAIRE SPECIALISE ""LE SOLEIL LEVANT""";Specialisé;Rue Grimard;175;6061
Enseignement Spécialisé Secondaire Libre;Specialisé;Rue Wilmet;42;6110
Institut Enseignement Secondaire Spécialisé Libre;Specialisé;Rue du Sanatorium;74;6120
Ecole Secondaired'  Enseignement Spécialisé Libre;Specialisé;Rue de l'Abbaye d'Aulne;2;6142
E.S.E.S.C.F. ENSEIGNEMENT SPECIALISE DE LA COMMUNAUTE FRANCAISE;Specialisé;Rue Auguste Guerlement;36;6150
Enseignement Secondaire Spécialisé Communal;Specialisé;Rue Hubert Bayet;10;6180
E.P.S.E.S.C.F. ENSEIGNEMENT SPECIALISE PRIMAIRE ET SECONDAIRE DE LA COMMUNAUTE FRANCAISE;Specialisé;Rue de Loverval;262;6200
Institut Secondaire Enseignement Spécialisé Libre;Specialisé;Boulevard Louise;23;6460
Arthur Regniers Enseignement Spécialisé Provincial;Specialisé;Rue Evelyn Drory;2;6543
Institut Enseignement Secondaire Spécialisé Libre;Specialisé;Rue de Maubeuge;170;6560
I.M.P.Enseignement Secondaire Spécialisé;Specialisé;Rue de Beauwelz;13;6590
Ecole Secondaire d' Enseignement Spécialisé Libre;Specialisé;Rue des Maies;29;6600
Institut d'Enseignement Spécialisé Primaire & Secondaire de la Communauté française;Specialisé;Rue du Château;19;6690
Institut d' Enseignement Secondaire Spécialisé Libre;Specialisé;Rue Saint-Antoine;199A;6740
Enseignement Spécialisé Primaire & Secondaire de la Communauté française;Specialisé;Chemin Morel;71;6762
Enseignement Spécialisé Secondaire de la Communauté française;Specialisé;Rue Mionvaux;33;6900
Institut d' Enseignement Secondaire Spécialisé Libre;Specialisé;Terre aux Ris;1;6940
Institut Provincial Secondaire Spécialisé;Specialisé;Briscol;12;6997
INSTITUT DES SOEURS DE NOTRE-DAME;Secondaire ordinaire;Rue de Veeweyde;40;1070
INSTITUT NOTRE-DAME;Secondaire ordinaire;Rue de Fiennes;66;1070
ECOLE SECONDAIRE BRACOPS-LAMBERT - 1 ER DEGRE AUTONOME;Secondaire ordinaire;Av Victor et Jules Bertaux;45;1070
ATHENEE MAIMONIDE;Secondaire ordinaire;Boulevard Poincaré;67;1070
ATHENEE ROYAL LEONARDO DA VINCI;Secondaire ordinaire;Rue Chomé-Wyns;5;1070
INSTITUT COMMUNAL MARIUS RENARD;Secondaire ordinaire;Rue Georges Moreau;107;1070
INSTITUT MARIE IMMACULEE - MONTJOIE (I.M.M.I.);Secondaire ordinaire;Rue des Résédas;51;1070
INSTITUT REDOUTE-PEIFFER;Secondaire ordinaire;Avenue Marius Renard;1;1070
INSTITUT DE LA PROVIDENCE;Secondaire ordinaire;Rue Haberman;27;1070
ATHENEE ROYAL D'AUDERGHEM;Secondaire ordinaire;Avenue du Parc de Woluwe;25-27;1160
INSTITUT SAINT-JULIEN-PARNASSE;Secondaire ordinaire;Av de l'Eglise St-Julien;22;1160
ATHENEE ADOLPHE MAX;Secondaire ordinaire;Boulevard Clovis;40;1000
ATHENEE ROYAL DE LA RIVE GAUCHE;Secondaire ordinaire;Rue Marie-Christine;83;1020
ATHENEE ROBERT CATTEAU;Secondaire ordinaire;Rue Ernest Allard;49;1000
ATHENEE LEON LEPAGE;Secondaire ordinaire;Rue des Riches Claires;30;1000
LYCEE EMILE JACQMAIN;Secondaire ordinaire;Rue Belliard;135A;1040
ATHENEE EMILE BOCKSTAEL;Secondaire ordinaire;Rue Reper-Vreven;80;1020
LYCEE HENRIETTE DACHSBECK;Secondaire ordinaire;Rue de la Paille;24;1000
INSTITUT SAINT-LOUIS;Secondaire ordinaire;Rue du Marais;113;1000
LYCEE MARIA ASSUMPTA;Secondaire ordinaire;Avenue Wannecouter;76;1020
ATHENEE DES PAGODES;Secondaire ordinaire;Rue de Beyseghem;141;1120
COLLEGE LA FRATERNITE;Secondaire ordinaire;Rue de Molenbeek;173;1020
ATHENEE ROYAL GATTI DE GAMOND;Secondaire ordinaire;Rue du Marais;65;1000
ATHENEE ROYAL DE BRUXELLES II;Secondaire ordinaire;Rue Marie-Christine;37;1020
LYCEE LA RETRAITE;Secondaire ordinaire;Rue des Confédérés;70;1000
INSTITUT DIDEROT;Secondaire ordinaire;Rue des Capucins;58;1000
INSTITUT PAUL-HENRI SPAAK;Secondaire ordinaire;Rue Alfred Stevens;20;1020
INSTITUT MARIS STELLA;Secondaire ordinaire;Rue Félix Sterckx;44;1020
INSTITUT BISCHOFFSHEIM;Secondaire ordinaire;Rue de la Blanchisserie;52;1000
INSTITUT DES ARTS ET METIERS;Secondaire ordinaire;Boulevard de l'Abattoir;50;1000
ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES;Secondaire ordinaire;Rue du Poinçon;28;1000
