"Facultés universitaires Saint-Louis",7,"Bld du Jardin Botanique",43,204
"Faculté universitaire de Théologie protestante",7,"Rue des Bollandistes",40,222
"Université libre de Bruxelles",7,"Avenue Franklin Roosevelt",50,230
"Université catholique de Louvain",7,"Place de l'Université",1,681
"Université de Liège",7,"Place du Vingt Août",9,2088
"Facultés Universitaires Notre-Dame de la Paix",7,"Rue de Bruxelles",61,3224
"Université de Mons",7,"Place du Parc",20,1572
"Académie universitaire Wallonie-Europe",7,"Place du 20 août",7,2088
"Académie universitaire 'Louvain'",7,"rue de Bruxelles",61,3224
"Académie universitaire Wallonie-Bruxelles",7,"Rue de Villers",227,1458
"RENE THONE ECOLE PRIMAIRE ET SECONDAIRE ENS. SPECIALISE PROVINCIAL",6,"Rue du Débarcadère",100,1457
"Institut Enseignement Spécialisé Secondaire Provincial",6,"Rue de Beaumont",266,1456
"ECOLE TECHNIQUE PROVINCIALE D'ENSEIGNEMENT SPECIALISE ECOLE CLINIQUE PROVINCIALE",6,"Rue de Lodelinsart",157,1470
"ETABLISSEMENT LIBRE D'ENSEIGNEMENT SECONDAIRE SPECIALISE ""LE SOLEIL LEVANT""",6,"Rue Grimard",175,1470
"Enseignement Spécialisé Secondaire Libre",6,"Rue Wilmet",42,1510
"Institut Enseignement Secondaire Spécialisé Libre",6,"Rue du Sanatorium",74,1813
"Ecole Secondaired'  Enseignement Spécialisé Libre",6,"Rue de l'Abbaye d'Aulne",2,1495
"E.S.E.S.C.F. ENSEIGNEMENT SPECIALISE DE LA COMMUNAUTE FRANCAISE",6,"Rue Auguste Guerlement",36,1725
"Enseignement Secondaire Spécialisé Communal",6,"Rue Hubert Bayet",10,1476
"E.P.S.E.S.C.F. ENSEIGNEMENT SPECIALISE PRIMAIRE ET SECONDAIRE DE LA COMMUNAUTE FRANCAISE",6,"Rue de Loverval",262,1473
"Institut Secondaire Enseignement Spécialisé Libre",6,"Boulevard Louise",23,1746
"Arthur Regniers Enseignement Spécialisé Provincial",6,"Rue Evelyn Drory",2,1776
"Institut Enseignement Secondaire Spécialisé Libre",6,"Rue de Maubeuge",170,1761
"I.M.P.Enseignement Secondaire Spécialisé",6,"Rue de Beauwelz",13,1783
"Ecole Secondaire d' Enseignement Spécialisé Libre",6,"Rue des Maies",29,2738
"Institut d'Enseignement Spécialisé Primaire & Secondaire de la Communauté française",6,"Rue du Château",19,2761
"Institut d' Enseignement Secondaire Spécialisé Libre",6,"Rue Saint-Antoine",199A,2941
"Enseignement Spécialisé Primaire & Secondaire de la Communauté française",6,"Chemin Morel",71,2980
"Enseignement Spécialisé Secondaire de la Communauté française",6,"Rue Mionvaux",33,2818
"Institut d' Enseignement Secondaire Spécialisé Libre",6,"Terre aux Ris",1,2786
"Institut Provincial Secondaire Spécialisé",6,Briscol,12,2799
"INSTITUT DES SOEURS DE NOTRE-DAME",5,"Rue de Veeweyde",40,198
"INSTITUT NOTRE-DAME",5,"Rue de Fiennes",66,198
"ECOLE SECONDAIRE BRACOPS-LAMBERT - 1 ER DEGRE AUTONOME",5,"Av Victor et Jules Bertaux",45,198
"ATHENEE MAIMONIDE",5,"Boulevard Poincaré",67,198
"ATHENEE ROYAL LEONARDO DA VINCI",5,"Rue Chomé-Wyns",5,198
"INSTITUT COMMUNAL MARIUS RENARD",5,"Rue Georges Moreau",107,198
"INSTITUT MARIE IMMACULEE - MONTJOIE (I.M.M.I.)",5,"Rue des Résédas",51,198
"INSTITUT REDOUTE-PEIFFER",5,"Avenue Marius Renard",1,198
"INSTITUT DE LA PROVIDENCE",5,"Rue Haberman",27,198
"ATHENEE ROYAL D'AUDERGHEM",5,"Avenue du Parc de Woluwe",25-27,200
"INSTITUT SAINT-JULIEN-PARNASSE",5,"Av de l'Eglise St-Julien",22,200
"ATHENEE ADOLPHE MAX",5,"Boulevard Clovis",40,204
"ATHENEE ROYAL DE LA RIVE GAUCHE",5,"Rue Marie-Christine",83,204
"ATHENEE ROBERT CATTEAU",5,"Rue Ernest Allard",49,204
"ATHENEE LEON LEPAGE",5,"Rue des Riches Claires",30,204
"LYCEE EMILE JACQMAIN",5,"Rue Belliard",135A,222
"ATHENEE EMILE BOCKSTAEL",5,"Rue Reper-Vreven",80,204
"LYCEE HENRIETTE DACHSBECK",5,"Rue de la Paille",24,204
"INSTITUT SAINT-LOUIS",5,"Rue du Marais",113,204
"LYCEE MARIA ASSUMPTA",5,"Avenue Wannecouter",76,204
"ATHENEE DES PAGODES",5,"Rue de Beyseghem",141,204
"COLLEGE LA FRATERNITE",5,"Rue de Molenbeek",173,204
"ATHENEE ROYAL GATTI DE GAMOND",5,"Rue du Marais",65,204
"ATHENEE ROYAL DE BRUXELLES II",5,"Rue Marie-Christine",37,204
"LYCEE LA RETRAITE",5,"Rue des Confédérés",70,204
"INSTITUT DIDEROT",5,"Rue des Capucins",58,204
"INSTITUT PAUL-HENRI SPAAK",5,"Rue Alfred Stevens",20,204
"INSTITUT MARIS STELLA",5,"Rue Félix Sterckx",44,204
"INSTITUT BISCHOFFSHEIM",5,"Rue de la Blanchisserie",52,204
"INSTITUT DES ARTS ET METIERS",5,"Boulevard de l'Abattoir",50,204
"ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES",5,"Rue du Poinçon",28,204
"INSTITUT NOTRE-DAME DE LOURDES",5,"Rue Edmond Tollenaere",32,204
"CENTRE SCOLAIRE SAINT-MICHEL",5,"Boulevard Saint-Michel",24,222
"INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE",5,"Rue Félix Hap",14,222
"CENTRE D'ENSEIGNEMENT SECONDAIRE D'ETTERBEEK ERNEST RICHARD",5,"Place Saint-Pierre",5,222
"INSTITUT REINE FABIOLA ENS. PROFESSIONNEL",5,"Rue de Haerne",220,222
"ATHENEE ROYAL JEAN ABSIL",5,"Avenue Hansen-Soulie",27,222
"INSTITUT DE L'ENFANT-JESUS",5,"Rue Général Leman",74,222
"INSTITUT SAINT-STANISLAS",5,"Avenue des Nerviens",131,222
"COLLEGE ROI BAUDOUIN",5,"Avenue Félix Marchal",62,246
"ATHENEE ROYAL D'EVERE",5,"Avenue Constant Permeke",2,224
"ATHENEE ROYAL ANDREE THOMAS",5,"Avenue Reine Marie-Henriette",47,226
"INSTITUT SAINTE-URSULE",5,"Avenue des Armures",39,226
"COLLEGE DU SACRE-COEUR",5,"Rue Louis Delhove",65,228
"CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE",5,"Avenue Van Overbeke",10,228
"ATHENEE ROYAL DE GANSHOREN",5,"Rue Auguste De Cock",1,228
"INSTITUT SAINT-BONIFACE- PARNASSE",5,"Rue du Viaduc",82,230
"CENTRE SCOLAIRE ""MA CAMPAGNE""",5,"Rue Africaine",3,230
"CENTRE SCOLAIRE SAINT-VINCENT SAINT-FRANCOIS",5,"Chaussée de Vleurgat",55,230
"INSTITUT SAINT-ANDRE",5,"Avenue de l'Hippodrome",180,230
"CENTRE SCOLAIRE EPERONNIERS-MERCELIS",5,"Rue Mercelis",36-38,230
"INSTITUT TECHNIQUE RENE CARTIGNY",5,"Place de la Petite Suisse",4,230
"ATHENEE COMMUNAL CHARLES JANSSENS",5,"Place de Londres",5,230
"CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE",5,Schoolgat,5,230
"ATHENEE ROYAL DE JETTE",5,"Avenue de Levis Mirepoix",100,232
"CENTRE SCOLAIRE DU SACRE-COEUR - Section Humanités",5,"Avenue du Sacré-Coeur",8,232
"COLLEGE SAINT-PIERRE",5,"Rue Jean-Baptiste Verbeyst",25,232
"ATHENEE ROYAL DE KOEKELBERG",5,"Rue Omer Lepreux",15,234
"INSTITUT DES URSULINES",5,"RUE JULES DEBECKER",71,234
"ATHENEE ROYAL SERGE CREUZ",5,"Avenue du Sippelberg",2,236
"CAMPUS SAINT-JEAN",5,"Rue de Birmingham",41,236
"ATHENEE ROYAL VICTOR HORTA",5,"Rue de la Rhétorique",16,238
"INSTITUT DES FILLES DE MARIE",5,"Rue Théodore Verhaegen",8,238
"INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE",5,"Rue Moris",19,238
"INSTITUT SAINTE-MARIE",5,"Rue Emile Feron",5,238
"CENTRE COMMUNAL D'ENSEIGNEMENT TECHNIQUE PIERRE PAULUS",5,"Rue de la Croix de Pierre",73,238
